,,Sample name,,RL0.061A,RL0.062A,RL0.063A,RL0.064A,RL0.065A,RL0.1251A,RL0.1252A,RL0.1253A,RL0.1254A,RL0.1255A,RL0.251A,RL0.252A,RL0.253A,RL0.254A,RL0.255A,RL0.51A,RL0.52A,RL0.53A,RL0.54A,RL0.55A,RL11A,RL12A,RL13A,RL14A,RL15A,RLCTRL1A,RLCTRL2A,RLCTRL3A,RLCTRL4A,RLCTRL5A,SH0.061A,SH0.062A,SH0.063A,SH0.064A,SH0.065A,SH0.1251A,SH0.1252A,SH0.1253A,SH0.1254A,SH0.1255A,SH0.251A,SH0.252A,SH0.253A,SH0.254A,SH0.255A,SH0.51A,SH0.52A,SH0.53A,SH0.54A,SH0.55A,SH11A,SH12A,SH13A,SH14A,SH15A,SHCTRL1A,SHCTRL2A,SHCTRL3A,SHCTRL4A,SHCTRL5A
11.86120435,1748.534783,Glyceric acid 3TMS,Organic acids,-1.194471055,-1.631365229,-1.355269702,0.686008581,-1.361084009,-1.136576672,0.722180922,-1.045552159,0.8821158,0.771900012,0.893223879,0.62975905,-1.171741813,-1.204406656,-1.100255007,-0.634750327,0.715096709,0.574716705,0.615058998,-1.217103313,-1.566319406,-1.157616063,0.444313676,-1.027268674,-1.125583736,-0.902850014,-0.738765424,0.842437849,-0.647220066,-0.670632454,-0.479456063,-0.349688143,0.881967557,-0.026882379,1.497317133,-0.552336742,-0.471122317,0.215302132,1.336062678,-0.458974461,-0.827658315,-0.129256777,-0.148185658,-0.097340825,1.593251012,1.602319662,1.083478384,-0.099874177,1.099343334,1.735536732,-0.019517071,2.077869853,1.630382465,-0.33777375,1.692106056,-0.284591058,1.257793428,0.002956485,-0.021000707,-0.290008869
11.94872742,1757.446774,"Lactose, TMS",Carbohydrates,-0.149765609,-0.351424371,-0.706649408,-0.10011596,-0.754188755,-0.197045132,-0.742620083,-0.777036581,-0.151732229,-0.669610765,-0.730242765,-0.221058702,-0.117101208,-0.700611302,-0.715698487,-0.747072943,-0.242510123,-0.704409605,-0.441438792,-0.742781734,-0.45809045,-0.169497178,-1.117514667,-0.643795249,-0.010723638,-0.647512047,-0.397508368,-0.397669624,-0.451420134,-0.284349271,-0.375383847,-0.266104447,-0.817269577,-0.053279901,-0.426376313,2.149805807,-0.34986851,-0.15416931,1.970168312,-0.422455819,2.164522348,-0.282954975,-0.227457885,2.039163207,1.996084935,-0.208723773,-0.282774633,-0.715859253,-0.562361585,2.329346269,-0.292965857,2.238134284,1.988928493,2.485866579,2.099121028,-0.776996762,-0.32894818,-0.229805552,-0.282588238,0.136398335
11.96031833,1757.703333,β-D-Glucopyranose TMS,Carbohydrates,-0.787044898,-1.371169268,-0.876230395,-0.900259839,-1.051122331,-0.770959741,-1.149200544,-0.831808687,-0.755100937,-0.627609199,-0.935177592,-1.086797219,-0.926870845,-1.175064444,-0.816398273,-0.9713789,-0.983130252,-0.670335778,-0.700586634,-0.871041082,-1.190062202,-0.70505079,-0.91900994,-0.448545944,-0.9077016,-0.196601586,-0.261366252,-0.553049816,-0.449137213,-0.308518441,0.161835617,-0.261486832,-0.505820538,0.39085335,0.67728153,0.921112708,0.884187665,3.058658184,0.752390578,0.847227834,0.735790923,1.614172633,1.586670946,1.417750748,0.593935178,0.779688175,0.238109302,0.880387505,0.187923784,0.83745836,2.263182893,1.886816706,1.389349803,1.050666351,0.550233184,0.1779574,0.427679144,0.225076137,1.041862129,-0.614620758
12.00503333,1761.836364,5-Methoxyindoleacetic acid,Indoles,0.42508061,-2.159508224,-1.894148355,-1.713017116,0.532468027,0.821518934,0.462583754,0.802266152,0.488114408,-1.599100844,0.164247021,0.578164946,-1.717675234,-0.745272021,-1.64892886,0.642414034,0.537071515,0.483798336,0.555055326,-1.761296078,0.331075645,0.649564429,0.385932604,-1.578737839,0.507746643,0.925782025,0.576326168,0.676111161,0.533893006,0.825006901,0.177232219,1.638943479,1.377135068,-0.616589361,-0.536716971,-1.121966515,0.984994,0.95430848,-0.019043407,-0.003909689,0.599672978,-0.715052366,-0.733258029,-0.684355824,0.222154439,-0.834867786,-1.153929503,0.413689533,-1.041113113,-0.707941172,-0.609505455,0.929953962,0.730937201,1.014395141,0.536649044,-0.864451688,1.545754789,2.21980507,0.080200893,-0.869662493
12.0446,1765.5,Erythrose MEOX-3TMS,Carbohydrates,-0.731342533,0.127239878,-0.12145006,-0.764993026,0.265063142,-0.064456893,-1.02061019,-0.750388083,-0.66207443,0.057543924,-0.785911131,-0.83109713,-0.872269679,-0.171645743,-0.180928105,0.362906045,-1.121540049,-0.122798204,-0.032509249,0.456858845,-2.796980387,0.039049747,-1.296398489,0.099031153,-0.734552592,-0.574717067,-0.768088803,-0.837364964,-0.812623332,0.428846358,-1.480046987,0.261069449,-1.391367155,0.606425842,0.299751708,-0.035511443,0.705383791,-0.638220151,-1.387827048,0.565853001,0.733174554,1.064575322,0.347788919,0.28835449,1.377457604,1.742434244,-1.608623163,0.839615292,-0.209290235,1.007605769,2.106145202,2.535739518,-0.361561816,2.355255779,1.196061631,0.267032763,0.442628059,0.870348232,0.965060435,0.752887442
12.07311103,1768.125517,Glucose-MOX-5TMS-PK1,Carbohydrates,0.900198151,2.025590574,0.458314407,0.254128947,0.320050664,0.867795698,0.875588784,-2.549006118,-0.678612472,-0.664366947,0.874891111,-0.695113571,0.837860292,-2.582603404,0.782933953,0.928473856,-0.674545073,-0.702755072,1.017149621,0.387684592,-0.686658774,0.700164358,-0.820067622,0.699688288,-0.744038865,-0.624583614,-0.712666966,-0.739504078,-0.775488696,-0.757893688,1.256887546,-0.642460266,-0.653776122,-0.662290659,1.094507061,1.473017497,0.68800686,-0.329327966,-0.505368052,-0.444793544,1.54225839,-0.600588328,1.24173143,1.166520191,-0.500333459,-0.494107214,-0.534319394,-0.509967808,1.112280651,-0.469943025,1.377377254,-0.420497121,-2.423428943,1.25186633,-0.426574478,-0.507965603,0.819796996,-0.549513807,0.744419062,-0.616021812
12.21760833,1781.486667,"Xylose, TMS",Carbohydrates,-0.783310246,-1.197727419,-0.824679509,-0.837803096,-0.943235877,-0.888602939,-1.027552906,-0.770708298,-0.779305297,-0.572647617,-0.833879775,-0.924720918,-0.975351077,-1.032451018,-0.697641527,-1.08605384,-1.197958097,-0.928941689,-1.070479149,-1.060806893,-1.293956852,-1.237931689,-1.403432767,-0.8248821,-1.407665407,-0.344623514,-0.507210611,-0.563236978,-0.569349603,-0.575997897,0.419262605,0.036210248,-0.168132371,0.795458645,0.683311838,0.86349427,0.873157741,2.212684624,0.820130789,0.902775594,0.867652144,1.533413988,1.419492706,1.364747282,0.897561985,0.699827794,0.272279964,0.61903689,0.128348668,0.772246247,1.662937559,1.670785375,1.203333351,1.158732698,0.820343458,1.162080174,0.493983881,1.126589966,1.220686602,0.629709887
12.60779545,1818.731818,"Myo-Inositol, 6TMS",Carbohydrates,-0.798236825,-1.090734703,-1.14163964,-0.938453029,-0.88875142,-0.922035617,-0.975136016,-0.991652578,-0.863230963,-0.825322789,-0.894098724,-1.128686236,-0.899561769,-1.287005,-0.92161639,-1.073232489,-1.089937315,-0.811925669,-0.926832641,-0.951305272,-1.288079957,-0.888446473,-1.253270379,-0.771562665,-1.170970063,-0.497178158,-0.634787795,-0.688727831,-0.672092817,-0.533615681,0.456520219,0.258230973,0.121574702,0.530178139,0.595266941,0.83123253,0.81581544,1.89724677,0.797540614,0.858775036,0.968261787,1.453885,1.377808251,1.251881346,0.609972744,0.729933424,0.537075137,0.759691336,0.566982009,1.024006071,1.836657591,1.749117402,1.143736727,1.573062064,0.962541071,1.094992429,0.414777359,1.210432395,0.953174473,0.437756925
12.63800333,1821.395,"Palmitic acid, TMS",Fatty acids,-1.380497431,-1.327458246,-1.418672441,-1.062236154,-1.098775764,-1.095934678,-1.052927164,-0.761733823,-0.960874508,-0.438580676,-1.449815306,-0.705436485,-0.977568219,-0.891365579,-0.967815369,-0.879784607,-1.401151248,-1.288997963,-1.286030526,-1.524560657,-1.081290171,-1.002899733,-1.162816121,-0.799604432,-1.041724444,-0.197205527,0.298516177,0.023141756,0.040697887,0.256928483,0.589784346,0.771104324,0.492705327,1.231501504,1.569831731,0.692985506,0.696177339,1.877395373,0.448600705,0.763268012,0.401712308,1.260952275,1.149184236,1.21165434,0.50891634,1.227337594,0.6862867,1.000693645,0.671515198,1.185437782,0.915145314,1.020529031,0.606352632,0.672146215,0.218947341,1.081737144,0.51042964,1.194609787,1.328875063,0.650656216
13.25624043,1881.540426,L-Rhamnose 4TMS,Carbohydrates,-0.266420304,-0.373441936,-0.272644285,-0.571044167,-0.295851817,-0.894664435,-0.48705776,-0.491714385,-0.913345665,-0.305419641,-0.62130547,-0.469010088,-0.242112639,-0.889428355,-0.418870272,-0.306384307,-0.031765599,-0.363892653,-0.032836796,-0.03005038,-0.847638284,-1.907001473,-0.460935297,-0.560052618,-0.770646652,-0.093127925,-1.396399048,-1.419231089,-1.284796818,-1.313338726,-1.080276025,0.884711535,0.616230304,1.129295767,0.987974087,1.388409067,1.223777061,-0.233293199,-0.987491478,-1.055306883,1.433262497,1.804136873,1.760552097,1.657072016,1.291614362,1.27257823,-1.209639154,1.368536458,1.058645362,1.478385914,1.931239326,-0.96077406,-0.963316467,-0.90755081,0.214456858,1.000130914,0.69699761,0.924154209,1.022665176,0.583251238
13.27160526,1883.036842,"Myristic acid, TMS",Fatty acids,-0.143833126,-0.391186811,-0.550875304,-1.308207736,-1.533177085,-0.421013958,-0.180811554,-1.167625721,-1.18565529,-1.170974125,-0.074440191,-0.003069146,-1.31381952,-0.140053959,-1.231000307,-1.524203012,-0.531609055,-1.397861766,-1.388944131,-0.454760544,-1.770947316,-0.464953237,-1.477958121,-0.104528217,-1.260344259,0.338283666,-0.812205788,-0.833903539,0.461544883,-0.733272077,0.880657706,0.966294847,0.711214654,1.262506153,1.478262543,-0.596223603,0.938546885,1.673578787,-0.423615472,0.941146098,-0.915190376,1.300123625,1.202146879,1.265843642,-0.497001142,1.216505984,0.948248797,1.091306736,0.848608046,-0.097509358,1.026128629,1.141207629,-0.400641734,0.838285495,0.6007502,1.201598201,0.800566873,1.190766374,1.334078163,0.843215083
13.30671186,1886.449153,"Octadecanoic acid, trimethylsilyl ester",Fatty acids,-1.529182494,-1.953805509,-1.38499522,-0.985596904,-0.892111351,-1.041294547,-1.456958736,-0.630349341,-0.876436523,-0.260734793,-1.167123506,-0.538170851,-0.681000958,-0.744697367,-0.792086819,-0.703527413,-1.34143757,-1.241269952,-1.224962003,-1.236555237,-1.604403811,-0.855063233,-0.94896456,-0.648619954,-0.980686372,-0.016121869,0.46350283,0.141452781,0.145860833,0.381404187,0.162559809,0.93098751,0.504839097,1.343224684,1.463245718,0.928792473,0.465390032,2.007372254,0.594755094,0.910535461,0.353659614,1.177810545,1.256871569,1.223463692,0.653552821,0.747854141,0.821904503,1.116693774,0.762082883,1.309363508,-0.740551464,1.181904559,0.763554297,0.46506792,-0.165245075,0.637085076,0.358996105,1.184635347,1.475133253,0.708397064
13.38761923,1894.584615,"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,-2.347946429,-1.013923569,-0.970995738,-0.823089963,-1.046223146,-0.629381516,-0.762977926,-0.384727321,-0.981560235,-0.653004718,-0.540210071,-0.630319946,-2.321600456,-0.707565586,-0.437483013,-0.586474564,-0.362519244,-0.49768105,-0.350539903,-0.725120237,-1.174458987,-1.089118422,-1.083801653,-1.049954977,-0.836870359,-0.583004076,-0.986717604,-0.291322352,-1.713587518,-0.534231553,0.483278736,0.47035016,0.396348862,0.779466229,0.447946256,1.197376297,0.416232188,1.838972246,1.144816403,0.243761279,0.445270173,1.62803493,1.458108821,0.602465732,0.303588138,1.309656455,0.23414471,1.358672297,1.040791993,0.61055814,1.724929658,1.096947984,0.73804073,0.766349123,0.510660036,1.15841892,0.662135325,1.356104885,0.939783929,0.753201499
13.63558571,1919.271429,"3,4-Dihydroxycinnamic acid, 3TMS",,-1.18256631,-1.979000366,-0.164143329,0.35335596,-1.486575561,0.403184429,0.226130297,-0.910723851,-0.939135557,-0.916000444,-1.324844578,-1.192164446,-1.141080741,0.264018818,0.417896796,0.397638813,-1.566469904,-1.273476899,-1.259429789,-1.223872443,-1.860632039,-1.115297201,-1.399627941,-0.87734389,-1.056826147,1.127329664,1.58435241,-0.384757468,-0.18338684,-0.226140503,0.122974515,0.359953593,0.256627136,0.949460176,1.101117731,-0.010117117,0.138193322,1.391738788,1.89664301,0.160377354,-0.512879497,0.7625039,2.379464117,0.820788823,0.146285296,0.535005221,-0.070805403,0.816162412,1.908215112,0.776006246,0.962910725,0.301984482,0.298176029,0.381711482,-0.017869668,0.478833098,0.123035718,1.003952011,0.960201305,0.468939143
14.1772549,1974.394118,"2-Palmitoylglycerol, 2TMS",,-0.751710458,0.08034727,-1.195832777,-0.222586632,0.075775573,-0.10169598,0.025778437,0.09630973,0.103751872,-0.429160988,-0.022762865,0.206695353,-0.524169858,-0.12017229,-0.528551651,0.112165502,-0.243129239,-0.858292372,-1.792380744,-0.293161372,0.475354975,0.067037417,-0.930172081,-0.344308938,-0.295017357,0.710194417,0.696232279,0.79333864,0.448376709,0.232472664,0.571538177,1.124936454,0.727291004,-1.041327791,-0.914328682,1.054626612,-1.720692959,0.851546183,0.537934761,-1.702115558,-2.265932915,-1.197886494,-1.226833973,1.487711111,0.721523007,1.361814177,0.571345578,0.883645938,0.738270651,1.49054811,-1.030064201,1.679130069,0.999602329,1.105686101,-1.851384246,1.879916448,-1.733386285,1.46885315,-1.032333089,0.989641098
14.37415333,1994.42,"Altronic acid, 1,4-lactone, TMS",,0.107860657,-1.297428323,-0.061031066,-0.876233142,-1.052328008,-0.84873676,-0.986627229,-0.766192463,-0.780305123,-0.117172278,-0.971937015,-0.906006365,-0.88062577,-0.910247417,-0.815798971,-1.04530355,-1.09205426,-0.946409889,-0.939429605,-0.9217612,-1.238442588,-0.867816034,-1.009105347,-0.749612342,-0.838767971,-0.636785018,-0.487987189,-0.504971125,-0.404970551,-0.426201751,-0.252836088,-0.135157845,1.185772211,0.157574098,1.5085687,-0.318926923,1.545551487,0.377195774,1.497066821,1.50597006,1.467426078,0.064737291,1.667326357,0.093679831,1.326333423,-0.048231939,-0.34906382,1.019223739,0.78196987,0.071442151,1.986642064,1.951504205,1.763384728,1.733475899,-0.322776715,1.593192611,-0.252805695,0.18463306,0.162907812,1.306648447
14.37587544,1994.594737,"Uridine, tris-TMS",Nucleic acids,-0.516529998,-0.551336721,-0.528942698,-0.504977329,-0.419979371,-0.63604928,-0.680447997,-0.794851807,-0.770902958,-0.602909989,-0.954626778,-1.468198137,-2.086222663,-1.294423087,-1.448273439,-1.336044959,-1.197015502,-2.144795323,-1.320859659,-1.479225217,-0.869729972,-0.846748762,-0.946682173,-1.01796083,-1.132644031,-0.067922927,-0.307602215,-0.343570867,-0.49113357,-0.41404705,0.852131752,0.84773219,0.70351764,0.992801582,0.736597534,0.698601794,1.018377812,1.467924639,0.889408866,0.965602451,0.769775964,1.089716143,1.124900893,1.085027907,0.796470517,0.539907799,0.314594198,0.562030419,0.285694418,0.574865721,1.414743544,1.284478779,1.067288187,1.211840902,1.061758261,1.123415719,0.80570568,1.081467501,1.062609094,0.745667405
14.37686,1994.69,"Mannonic acid, 1,4-lactone, (4TMS)",,0.002646162,-1.357357544,-1.032392792,-0.810678912,-1.03923624,-0.774990772,-0.953961769,-0.667854778,-0.686171899,-0.671256585,-0.934895022,-0.849322214,-0.816380198,-0.854826767,-0.732240116,-1.030119042,-1.090797818,-0.901762815,-0.892702954,-0.869770752,-1.280798552,-0.799754168,-0.983136606,-0.646335088,-0.76205207,-0.499894126,-0.306766298,-0.328810104,-0.199017263,-0.226573682,1.949713585,1.611067019,0.084582825,1.983805296,2.056423273,2.04620678,0.008250075,0.816172776,0.088021605,0.022548121,1.948739676,2.26901887,0.388347052,0.448191504,1.730614507,0.26400125,-0.126454746,0.445209744,0.011606206,0.419328754,0.539790189,0.113816355,0.111361749,2.307199672,-0.092336162,0.227797672,-0.00151931,0.566241602,0.538043948,0.2214209
14.99902099,2062.053086,Monostearin TMS,,1.107452519,1.233982977,-0.926750332,-0.829418273,-0.848311903,1.20743785,-0.817280143,-0.78144065,-0.824765718,-0.826921,-0.883825515,1.268520936,-0.847505119,1.195748267,-0.853550955,-0.791458967,-0.846179979,-0.949152461,-1.008234645,-0.869018751,1.437468311,1.254824158,1.038352381,-0.871917061,-0.855892684,-0.714263367,-0.645098431,-0.679552412,1.348167225,1.337609204,-0.669259353,-0.571547482,-0.695703688,-0.532987936,-0.494842285,-0.668262111,-0.594999942,-0.45754094,-0.633329816,1.481184261,-0.681247811,1.479160577,-0.552217331,1.493696232,1.391742464,1.436881041,-0.70203715,-0.566827971,1.401956293,-0.536405258,-0.636041201,1.561952879,-0.641239886,1.351985733,-0.699676493,1.580264545,1.242643608,-0.53000373,-0.55727117,1.240948458